,code site,lat,lon
732,FR28131,50.4368,2.826683
733,FR14029,48.7266,4.594781
734,FR20034,45.69953,4.829694
735,FR15053,45.15467,5.74523
736,FR05087,49.498417,0.758697
737,FR34029,47.83775,1.944667
738,FR24007,43.598804,7.093153
739,FR33211,46.19583,6.240556
740,FR09003,46.162647,-1.153684
741,FR41003,41.958027,8.820278
742,FR04029,48.799168,2.130556
743,FR16067,47.80221,7.122844
744,FR09104,45.64578,0.159472
745,FR02028,43.386562,5.026868
746,FR34024,47.34414,0.653778
747,FR12013,43.632465,1.432011
748,FR82514,47.240993,6.018156
749,FR82010,47.510307,6.794
750,FR31013,43.3108,-0.391543
751,FR24040,43.791912,7.048276
752,FR22054,49.18742,6.910867
753,FR23004,47.317345,-2.07333
754,FR07203,45.86876,3.60328
755,FR41022,41.918304,8.736778
756,FR31008,44.86581,-0.94
757,FR03004,43.31543,5.386739
758,FR10028,50.98106,2.14317
759,FR09009,46.58305,0.344889
760,FR01063,49.321335,6.103931
761,FR02019,43.44603,5.254136
762,FR29429,45.533424,4.623939
763,FR05070,49.505,0.201694
764,FR39002,14.603139,-61.07789
765,FR23182,47.971146,0.221356
766,FR16041,48.5157,7.687819
767,FR09015,46.58696,0.358458
768,FR19503,47.75947,-3.380389
769,FR06022,50.36641,3.33942
770,FR05504,49.5032,0.1301
771,FR12001,43.620003,1.3475
772,FR03063,43.124584,5.924399
773,FR18043,49.259552,2.474397
774,FR34013,47.90708,1.901139
775,FR04024,48.99083,2.444722
776,FR03064,43.135902,6.011513
777,FR34084,47.38944,0.7225
778,FR18048,49.403618,3.361543
779,FR38019,-20.8935,55.470806
780,FR25503,49.3793,1.0304
781,FR02033,43.339893,5.058827
782,FR34108,48.166058,2.044028
783,FR31003,44.849648,-0.544995
784,FR07011,44.923164,2.436778
785,FR11022,50.68719,2.88004
786,FR37001,16.257307,-61.591724
787,FR26094,47.351368,5.070706
788,FR05501,49.4975,0.2531
789,FR10034,51.02446,2.30215
790,FR23229,48.072517,-0.773236
791,FR37010,15.994349,-61.727203
792,FR04142,49.028057,2.750278
793,FR20046,45.7789,4.9247
794,FR38098,-21.277075,55.403065
795,FR20048,45.7533,5.0722
796,FR34003,47.630177,1.569311
797,FR31007,44.900295,-0.515835
798,FR25048,49.42815,1.058025
799,FR38013,-20.885885,55.473427
800,FR12004,43.575695,1.418064
801,FR16064,48.065414,7.333139
802,FR04071,48.856388,2.335278
803,FR22017,49.125977,7.381747
804,FR30031,48.6931,6.168019
805,FR39008,14.616389,-61.100792
806,FR10016,50.94729,1.84308
807,FR05072,49.50386,0.084614
808,FR02020,43.510803,5.220046
809,FR03046,43.18659,5.607593
810,FR20061,45.986217,4.719637
811,FR16066,47.737415,7.309075
